input,domain_label,intent_label
how long did Faye work for Kohls,people,get employment time
play ME! (feat. Brendon Urie of Panic! At The Disco) on iHeartRadio,music,play music
What is the 10-day-forecast?,weather,get weather
Any news on construction in White House?,news,get stories news
Tell me who lives in Tuscon?,people,get contact
can you call Mark Meyers on WhatsApp,calling,create call
set an alarm for 4 years,alarm,create alarm
Friends of Donald Trump,people,get contact
Set a reminder to pick up hairspray.,reminder,create reminder
Who is from New York,people,get contact
"Is it raining in Portland, Oregon?",weather,get weather
What are the calories in a slice of apple pie,recipes,get info recipes
Can you pull up the reminder to attend Mikes party on Saturday evening.,reminder,get reminder
did congress pass Obamacare repeal,news,question news
play the hits from last summer,music,play music
Set up alarm Monday at 5 and then at Tuesday at 8 am,alarm,create alarm
Shut off my timer,timer,pause timer
please send Audrey and Vlad message,messaging,send message
Call Wilkerson.,calling,create call
tell the piano instructor to cancel the lesson today,messaging,send message
Change the time of my last reminder,reminder,update reminder
Set my alarm for every half hour,alarm,create alarm
I'm in the mood for some R&B,music,play music
Set me as inactive,calling,set unavailable
Wish Ken a Happy Birthday,messaging,send message
Pull up the weather report.,weather,get weather
call Whatsapp Abel Kelly,calling,create call
All news today,news,get stories news
I want to change my alarm.,alarm,update alarm
What is the weather for Friday?,weather,get weather
Temperature for Toronto Canada?,weather,get weather
How long has Anthony worked at Apple,people,get employment time
Show me the earliest family meeting reunion reminder.,reminder,get reminder
Show me all active reminders,reminder,get reminder
What's the forecast for Sheffield?,weather,get weather
Tell me what the weather is like in Queensland?,weather,get weather
Message the list if anyone is going tonight,messaging,send message
Find news about Angelina Jolie divorce,news,get stories news
How many inches of rain did Slaton get today?,weather,get weather
Is it raining in Washington right now?,weather,get weather
Remind me to stop the mail on July 31.,reminder,create reminder
What alarms do I have called mymeds? Show me.,alarm,get alarm
i want to leave Alexander a video recording,messaging,send message
Tell my brother-in-law a happy birthday for me please.,messaging,send message
please add 10 minutes to timer,timer,add time timer
What time did my boss call me?,calling,get call time
"Update my reminder to cook Chicken BIriyani and raita for Mona's birthday party, instead of Chappatis and Chicken Kurma.",reminder,update reminder todo
WHAT IS THE NEWS IN PARIS,news,get stories news
include stepkids patti to video call,calling,update call
Where can I have fun in the morning,event,get event
How much time is left on the timer,timer,get timer
Show my alarms for the month,alarm,get alarm
can i hear the local entertainment news,news,get stories news
I'd like to know the name of this album.,music,get track info music
I need to set up a dentist appointment. Can you remind me to call tomorrow?,reminder,create reminder
Delete the timer.,timer,delete timer
Im offline,calling,set unavailable
accessible now,calling,set available
Can you video message Alan Cox?,messaging,send message
Message Missy that I am on my way and hope to be at Dockside by 7:00.,messaging,send message
Set an alarm for Saturdays at 8am,alarm,create alarm
what ingredients do i need to make waffles,recipes,get info recipes
call cousin mark,calling,create call
